"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1971,"SPRING",30,5.54170441459148,6.76088,-18.0327943316332,18.0327943316332
1971,"SPRING",31,4.68885733527789,5.72041,-18.032844931082,18.032844931082
1971,"SPRING",32,3.6509891320822,4.45421,-18.0328468553975,18.0328468553975
1971,"SPRING",33,2.73075130281028,3.33152,-18.0328707974053,18.0328707974053
1971,"SPRING",34,2.24660972523458,2.74086,-18.0326713062843,18.0326713062843
1971,"SPRING",35,1.48211179306382,1.80818,-18.032950642977,18.032950642977
1971,"SPRING",36,0.872581307403404,1.06455,-18.0328488653982,18.0328488653982
1971,"SPRING",37,0.589362324109626,0.71902,-18.0325548510993,18.0325548510993
1971,"SPRING",38,0.347880719795454,0.42441,-18.0319220104488,18.0319220104488
1971,"SPRING",39,0.169330607064339,0.20658,-18.0314613881599,18.0314613881599
1971,"SPRING",40,0.125528443965243,0.15314,-18.0302703635609,18.0302703635609
1971,"SPRING",41,0.102928256817561,0.12557,-18.0311723998079,18.0311723998079
1971,"SPRING",42,0.0865239638612862,0.10556,-18.0333801996152,18.0333801996152
1971,"SPRING",43,0.0542080706628201,0.06613,-18.028019563254,18.028019563254
1971,"SPRING",44,0.086834257739269,0.10594,-18.0344933554192,18.0344933554192
1971,"SPRING",45,0.0124042001379324,0.01513,-18.015861613137,18.015861613137
1971,"SPRING",47,0.013552017665705,0.01653,-18.0156221070476,18.0156221070476
1972,"SPRING",5,0.016262421198846,0.01984,-18.0321512154938,18.0321512154938
1972,"SPRING",6,0.016262421198846,0.01984,-18.0321512154938,18.0321512154938
1972,"SPRING",7,0.0325248423976921,0.03968,-18.0321512154938,18.0321512154938
1972,"SPRING",8,0.0487872635965381,0.05952,-18.0321512154938,18.0321512154938
1972,"SPRING",9,0.0320226519927343,0.03907,-18.0377476510513,18.0377476510513
1972,"SPRING",10,0.0320226519927343,0.03907,-18.0377476510513,18.0377476510513
1972,"SPRING",12,0.0181776899241372,0.02218,-18.0446802338269,18.0446802338269
1972,"SPRING",14,0.016262421198846,0.01984,-18.0321512154938,18.0321512154938
1972,"SPRING",15,0.0192022957275655,0.02343,-18.0439789689905,18.0439789689905
1972,"SPRING",16,0.0373799856517027,0.0456,-18.0263472550379,18.0263472550379
1972,"SPRING",17,0.0894955962938653,0.10918,-18.0293127918434,18.0293127918434
1972,"SPRING",18,0.174290217208798,0.21263,-18.0312198613562,18.0312198613562
1972,"SPRING",19,0.29038761602871,0.35427,-18.0321178680921,18.0321178680921
1972,"SPRING",20,0.620409265675854,0.7569,-18.0328622439088,18.0328622439088
1972,"SPRING",21,0.586723584971261,0.7158,-18.0324692691728,18.0324692691728
1972,"SPRING",22,0.702007616808878,0.85645,-18.0328545964297,18.0328545964297
1972,"SPRING",23,1.36052450149843,1.65984,-18.0327922270562,18.0327922270562
1972,"SPRING",24,1.02485566901904,1.25032,-18.0325301507581,18.0325301507581
1972,"SPRING",25,1.51851634196436,1.85259,-18.0327896639645,18.0327896639645
1972,"SPRING",26,1.47071514220248,1.79427,-18.0326738895216,18.0326738895216
1972,"SPRING",27,2.57096916303295,3.13658,-18.0327247182297,18.0327247182297
1972,"SPRING",28,3.32290804878421,4.05395,-18.0328309726511,18.0328309726511
1972,"SPRING",29,4.45245727311119,5.432,-18.0328189780709,18.0328189780709
1972,"SPRING",30,4.89400835627195,5.97069,-18.0327842130147,18.0327842130147
1972,"SPRING",31,4.04739534307864,4.93782,-18.0327483974984,18.0327483974984
1972,"SPRING",32,4.4839913876296,5.47047,-18.0327944832967,18.0327944832967
1972,"SPRING",33,2.96753447576986,3.62039,-18.0327402360004,18.0327402360004
