Cruise    Strata    Tow      Station    SPP       SEX       EXPFAC          CATCHWT      CATCHNUM      LENGTH          NUMLEN
201604    01160     015       0290      105       0         1              5.238          9              39             1              
201604    01160     015       0290      105       0         1              5.238          9              43             1              
201604    01160     015       0290      105       0         1              5.238          9              37             2              
201604    01160     015       0290      105       0         1              5.238          9              42             1              
201604    01160     015       0290      105       0         1              5.238          9              45             2              
201604    01160     015       0290      105       0         1              5.238          9              34             1              
201604    01190     012       0297      105       0         1              0.291          1              32             1              
201604    01200     004       0298      105       0         1              0.380          1              36             1              
201604    01210     001       0299      105       0         1              31.912         110            31             10             
201604    01210     001       0299      105       0         1              31.912         110            38             1              
201604    01210     001       0299      105       0         1              31.912         110            33             28             
201604    01210     001       0299      105       0         1              31.912         110            34             19             
201604    01210     001       0299      105       0         1              31.912         110            36             11             
201604    01210     001       0299      105       0         1              31.912         110            30             6              
201604    01210     001       0299      105       0         1              31.912         110            42             1              
201604    01210     001       0299      105       0         1              31.912         110            35             11             
201604    01210     001       0299      105       0         1              31.912         110            32             19             
201604    01210     001       0299      105       0         1              31.912         110            37             4              
201604    01210     002       0254      105       0         1              0.840          3              32             3              
201704    01130     002       0093      105       0         1              0.007          1              5              1              
201704    01160     001       0040      105       0         1              0.878          3              31             1              
201704    01160     001       0040      105       0         1              0.878          3              34             2              
201704    01160     003       0095      105       0         1              0.642          2              32             1              
201704    01160     003       0095      105       0         1              0.642          2              28             1              
201704    01160     004       0094      105       0         1              0.542          2              34             1              
201704    01160     004       0094      105       0         1              0.542          2              27             1              
201704    01160     005       0096      105       0         1              4.340          13             38             1              
201704    01160     005       0096      105       0         1              4.340          13             34             5              
201704    01160     005       0096      105       0         1              4.340          13             33             5              
201704    01160     005       0096      105       0         1              4.340          13             42             1              
201704    01160     005       0096      105       0         1              4.340          13             29             1              
201704    01160     008       0032      105       0         1              4.010          9              35             1              
201704    01160     008       0032      105       0         1              4.010          9              39             1              
201704    01160     008       0032      105       0         1              4.010          9              41             1              
201704    01160     008       0032      105       0         1              4.010          9              37             2              
201704    01160     008       0032      105       0         1              4.010          9              32             1              
201704    01160     008       0032      105       0         1              4.010          9              44             1              
201704    01160     008       0032      105       0         1              4.010          9              36             1              
201704    01160     008       0032      105       0         1              4.010          9              38             1              
201704    01160     009       0038      105       0         1              1.380          4              39             1              
201704    01160     009       0038      105       0         1              1.380          4              34             2              
201704    01160     009       0038      105       0         1              1.380          4              35             1              
201704    01160     013       0098      105       0         1              0.430          1              39             1              
201704    01190     001       0097      105       0         1              2.531          4              46             1              
201704    01190     001       0097      105       0         1              2.531          4              44             1              
201704    01190     001       0097      105       0         1              2.531          4              39             1              
201704    01190     001       0097      105       0         1              2.531          4              43             1              
201704    01190     005       0077      105       0         1              0.460          2              33             1              
201704    01190     005       0077      105       0         1              0.460          2              26             1              
