Cruise    Strata    Tow      Station    SPP       SEX       LENGTH    AGE      NUMAGE
201604    01160     015       0290      105       2         45        5         1
201604    01160     015       0290      105       2         45        5         1
201604    01160     015       0290      105       2         42        4         1
201604    01160     015       0290      105       2         39        3         1
201604    01160     015       0290      105       2         43        4         1
201604    01160     015       0290      105       2         40        3         1
201604    01190     012       0297      105       1         32        3         1
201604    01200     004       0298      105       1         36        2         1
201604    01210     001       0299      105       2         37        4         1
201604    01210     001       0299      105       2         42        4         1
201604    01210     001       0299      105       1         37        4         1
201604    01210     001       0299      105       1         36        4         1
201604    01210     001       0299      105       1         34        2         1
201604    01210     001       0299      105       1         35        3         1
201604    01210     001       0299      105       1         31        3         1
201604    01210     001       0299      105       2         35        4         1
201604    01210     001       0299      105       1         32        2         1
201604    01210     001       0299      105       1         36        2         1
201604    01210     001       0299      105       1         33        3         1
201604    01210     001       0299      105       1         32        2         1
201604    01210     001       0299      105       1         34        3         1
201604    01210     001       0299      105       1         33        2         1
201604    01210     001       0299      105       1         31        2         1
201604    01210     001       0299      105       2         38        3         1
201604    01210     002       0254      105       2         32        3         1
201704    01130     002       0093      105       0         5         0         1
201704    01160     001       0040      105       1         34        3         1
201704    01160     001       0040      105       1         31        1         1
201704    01160     001       0040      105       1         34        2         1
201704    01160     003       0095      105       2         32        3         1
201704    01160     003       0095      105       1         28        1         1
201704    01160     004       0094      105       1         34        4         1
201704    01160     004       0094      105       1         27        1         1
201704    01160     005       0096      105       1         34        3         1
201704    01160     005       0096      105       1         29        1         1
201704    01160     005       0096      105       2         42        6         1
201704    01160     005       0096      105       2         34        2         1
201704    01160     005       0096      105       1         33        3         1
201704    01160     008       0032      105       2         41        4         1
201704    01160     008       0032      105       2         37        3         1
201704    01160     008       0032      105       1         36        5         1
201704    01160     008       0032      105       1         32        4         1
201704    01160     008       0032      105       1         35        3         1
201704    01160     008       0032      105       2         39        4         1
201704    01160     008       0032      105       2         44        7         1
201704    01160     008       0032      105       2         38        5         1
201704    01160     008       0032      105       1         37        4         1
201704    01160     009       0038      105       2         34        2         1
201704    01160     009       0038      105       2         34        2         1
201704    01160     009       0038      105       2         39        4         1
201704    01160     009       0038      105       1         35        3         1
201704    01190     001       0097      105       2         44        6         1
201704    01190     001       0097      105       2         39        4         1
201704    01190     001       0097      105       1         43        6         1
201704    01190     001       0097      105       2         46        7         1
201704    01190     005       0077      105       1         26        2         1
201704    01190     005       0077      105       2         33        4         1
201704    01210     001       0062      105       2         31        2         1
