"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",16,0.0055312043414736,0.00824,-32.8737337199806,32.8737337199806
1968,"SPRING",17,0.0176968721113994,0.02637,-32.8901323041359,32.8901323041359
1968,"SPRING",23,0.0423319766228345,0.06307,-32.8809630207159,32.8809630207159
1968,"SPRING",24,0.0176968721113994,0.02637,-32.8901323041359,32.8901323041359
1968,"SPRING",25,0.0423319766228345,0.06307,-32.8809630207159,32.8809630207159
1968,"SPRING",26,0.0211659883114172,0.03154,-32.8916033246124,32.8916033246124
1968,"SPRING",29,0.0211659883114172,0.03154,-32.8916033246124,32.8916033246124
1968,"SPRING",30,0.0176968721113994,0.02637,-32.8901323041359,32.8901323041359
1968,"SPRING",31,0.0305585994573158,0.04553,-32.88249625013,32.88249625013
1968,"SPRING",32,0.0317857888302472,0.04736,-32.88473642262,32.88473642262
1968,"SPRING",33,0.0187852222917971,0.02799,-32.8859510832543,32.8859510832543
1968,"SPRING",34,0.113325601408726,0.16886,-32.887835242967,32.887835242967
1968,"SPRING",35,0.095880213561804,0.14286,-32.8851928028811,32.8851928028811
1968,"SPRING",36,0.100266745186908,0.1494,-32.8870514143855,32.8870514143855
1968,"SPRING",37,0.281042621250824,0.41875,-32.8853441789077,32.8853441789077
1968,"SPRING",38,0.270753405028609,0.40342,-32.8854779067452,32.8854779067452
1968,"SPRING",39,0.194720673352483,0.29013,-32.885026245999,32.885026245999
1968,"SPRING",40,0.583626955965716,0.8696,-32.885584640557,32.885584640557
1968,"SPRING",41,0.27595112611941,0.41117,-32.8863666805919,32.8863666805919
1968,"SPRING",42,0.304144489668128,0.45318,-32.8866036303174,32.8866036303174
1968,"SPRING",43,0.35849780756246,0.53416,-32.8856882652276,32.8856882652276
1968,"SPRING",44,0.210127164690408,0.31309,-32.8860184961486,32.8860184961486
1968,"SPRING",45,0.277568949551573,0.41358,-32.8862736226188,32.8862736226188
1968,"SPRING",46,0.182712377374243,0.27224,-32.8855504796344,32.8855504796344
1968,"SPRING",47,0.228789699105134,0.3409,-32.8865652375669,32.8865652375669
1968,"SPRING",48,0.38801040227543,0.57814,-32.886428499078,32.886428499078
1968,"SPRING",49,0.386418669429784,0.57576,-32.885461054991,32.885461054991
1968,"SPRING",50,0.325216469040827,0.48457,-32.8855544006382,32.8855544006382
1968,"SPRING",51,0.330558206027837,0.49253,-32.8856707149135,32.8856707149135
1968,"SPRING",52,0.54572033624554,0.81312,-32.8856335786182,32.8856335786182
1968,"SPRING",53,0.391637511471575,0.58354,-32.8859184509073,32.8859184509073
1968,"SPRING",54,0.485349618000683,0.72317,-32.8858196550351,32.8858196550351
1968,"SPRING",55,0.243981771376887,0.36353,-32.8853818455458,32.8853818455458
1968,"SPRING",56,0.363425615323706,0.5415,-32.885389598577,32.885389598577
1968,"SPRING",57,0.214312840212965,0.31933,-32.8867190013574,32.8867190013574
1968,"SPRING",58,0.348214182180212,0.51884,-32.8860183909852,32.8860183909852
1968,"SPRING",59,0.108388993251235,0.1615,-32.886072290257,32.886072290257
1968,"SPRING",60,0.18774858531042,0.27975,-32.8870115065523,32.8870115065523
1968,"SPRING",61,0.156456757544735,0.23312,-32.8857423023614,32.8857423023614
1968,"SPRING",62,0.228761020166781,0.34085,-32.8851341743345,32.8851341743345
1968,"SPRING",63,0.0704112456225794,0.10491,-32.8841429581743,32.8841429581743
1968,"SPRING",64,0.07459464339552,0.11115,-32.8883100355195,32.8883100355195
1968,"SPRING",65,0.0498257728611517,0.07424,-32.885543021078,32.885543021078
1968,"SPRING",66,0.058638593195575,0.08737,-32.8847508348689,32.8847508348689
1968,"SPRING",67,0.0383749043345161,0.05718,-32.8875405132632,32.8875405132632
1968,"SPRING",68,0.105342606673227,0.15696,-32.8856991123684,32.8856991123684
1968,"SPRING",69,0.0320131496556043,0.0477,-32.886478709425,32.886478709425
1968,"SPRING",70,0.0443223156513701,0.06604,-32.8856516484402,32.8856516484402
1968,"SPRING",71,0.0540104130429741,0.08048,-32.8896458213543,32.8896458213543
1968,"SPRING",72,0.00592256313921937,0.00882,-32.8507580587373,32.8507580587373
1968,"SPRING",74,0.0460126129349673,0.06856,-32.8870873177256,32.8870873177256
1968,"SPRING",75,0.0320131496556043,0.0477,-32.886478709425,32.886478709425
1968,"SPRING",76,0.050981213121163,0.07596,-32.8841322786163,32.8841322786163
1968,"SPRING",77,0.0160065748278021,0.02385,-32.886478709425,32.886478709425
1968,"SPRING",78,0.0176968721113994,0.02637,-32.8901323041359,32.8901323041359
1968,"SPRING",82,0.00883601196688235,0.01317,-32.9080336607263,32.9080336607263
1969,"SPRING",16,0.00592256313921937,0.00882,-32.8507580587373,32.8507580587373
1969,"SPRING",32,0.0270885514506366,0.04036,-32.8826772779073,32.8826772779073
1969,"SPRING",33,0.00592256313921937,0.00882,-32.8507580587373,32.8507580587373
1969,"SPRING",34,0.0211659883114172,0.03154,-32.8916033246124,32.8916033246124
1969,"SPRING",42,0.0487645486080051,0.07266,-32.8866658298857,32.8866658298857
1969,"SPRING",43,0.0575971439504627,0.08582,-32.8861058605655,32.8861058605655
1969,"SPRING",44,0.0264066553358977,0.03935,-32.8928708109335,32.8928708109335
1969,"SPRING",45,0.0659222152647325,0.09822,-32.8831039862223,32.8831039862223
1969,"SPRING",46,0.0836181555694705,0.12459,-32.8853394578453,32.8853394578453
1969,"SPRING",47,0.0809055421375396,0.12055,-32.8863192554628,32.8863192554628
1969,"SPRING",48,0.136710324914771,0.2037,-32.8864384316295,32.8864384316295
1969,"SPRING",49,0.211409931153983,0.315,-32.8857361415929,32.8857361415929
1969,"SPRING",50,0.115376818472467,0.17191,-32.8853362384582,32.8853362384582
1969,"SPRING",51,0.193285794628155,0.288,-32.8868768652239,32.8868768652239
1969,"SPRING",52,0.139599008392058,0.208,-32.885092119203,32.885092119203
1969,"SPRING",53,0.183829924163362,0.27391,-32.8867423009887,32.8867423009887
1969,"SPRING",54,0.289490980939791,0.43134,-32.8856630639887,32.8856630639887
1969,"SPRING",55,0.209071945413523,0.31152,-32.8865095616579,32.8865095616579
1969,"SPRING",56,0.325930647079677,0.48564,-32.8863670456147,32.8863670456147
1969,"SPRING",57,0.187695472330726,0.27967,-32.8868050449723,32.8868050449723
1969,"SPRING",58,0.224468559600839,0.33446,-32.8862765051609,32.8862765051609
1969,"SPRING",59,0.19059525466069,0.28399,-32.8866316910138,32.8866316910138
