"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1969,"SPRING",45,0.276573174880598,0.33742,-18.0329634044816,18.0329634044816
1969,"SPRING",46,0.217101199784486,0.26486,-18.0317149496014,18.0317149496014
1969,"SPRING",47,0.0860973494355888,0.10504,-18.0337495853115,18.0337495853115
1969,"SPRING",48,0.139439720940963,0.17012,-18.0344927457308,18.0344927457308
1969,"SPRING",52,0.0846518259589734,0.10328,-18.0365744006841,18.0365744006841
1970,"SPRING",8,0.0195014258117928,0.02379,-18.0267935611902,18.0267935611902
1970,"SPRING",9,0.0242643526610043,0.0296,-18.0258356047152,18.0258356047152
1970,"SPRING",10,0.0224634348266029,0.02741,-18.0465712272788,18.0465712272788
1970,"SPRING",11,0.00975071290589642,0.0119,-18.061236084904,18.061236084904
1970,"SPRING",17,0.00975071290589642,0.0119,-18.061236084904,18.061236084904
1970,"SPRING",18,0.0485287053220086,0.05921,-18.039680253321,18.039680253321
1970,"SPRING",19,0.0485287053220086,0.05921,-18.039680253321,18.039680253321
1970,"SPRING",20,0.0733654268747636,0.08951,-18.0366139260824,18.0366139260824
1970,"SPRING",21,0.234936988317542,0.28662,-18.031892988088,18.031892988088
1970,"SPRING",22,0.151787630699414,0.18518,-18.0323843290775,18.0323843290775
1970,"SPRING",23,0.188889399932542,0.23045,-18.0345411444816,18.0345411444816
1970,"SPRING",24,0.569100767587567,0.6943,-18.032440214955,18.032440214955
1970,"SPRING",25,0.556340518607099,0.67874,-18.0333384496126,18.0333384496126
1970,"SPRING",26,0.22367920767792,0.27289,-18.0331973769945,18.0331973769945
1970,"SPRING",27,0.804029579206656,0.98092,-18.0331138924014,18.0331138924014
1970,"SPRING",28,0.593369719641452,0.72391,-18.0326670937752,18.0326670937752
1970,"SPRING",29,0.719651672645877,0.87798,-18.0332498865717,18.0332498865717
1970,"SPRING",30,0.678639908420977,0.82794,-18.0327187452017,18.0327187452017
1970,"SPRING",31,0.751152914481955,0.91641,-18.0330949594663,18.0330949594663
1970,"SPRING",32,0.703859401670091,0.85871,-18.0329329261228,18.0329329261228
1970,"SPRING",33,0.757249665266407,0.92384,-18.0323794957561,18.0323794957561
1970,"SPRING",34,0.45033728881121,0.54941,-18.0325642396006,18.0325642396006
1970,"SPRING",35,0.92849681619804,1.13277,-18.0330679486533,18.0330679486533
1970,"SPRING",36,0.475575690675497,0.5802,-18.0324559332131,18.0324559332131
1970,"SPRING",37,0.531747564876992,0.64873,-18.0325305015967,18.0325305015967
1970,"SPRING",38,0.324235734216417,0.39557,-18.0332850781362,18.0332850781362
1970,"SPRING",39,0.396223898445405,0.48339,-18.0322517128188,18.0322517128188
1970,"SPRING",40,0.318290763397009,0.38831,-18.0317881597153,18.0317881597153
1970,"SPRING",41,0.159831968846779,0.195,-18.0348877708826,18.0348877708826
1970,"SPRING",42,0.176306483099786,0.21509,-18.0312970850405,18.0312970850405
1970,"SPRING",43,0.103353468453275,0.12609,-18.0319863166982,18.0319863166982
1970,"SPRING",44,0.0524816279806621,0.06403,-18.0358769628891,18.0358769628891
1970,"SPRING",45,0.0485287053220086,0.05921,-18.039680253321,18.039680253321
1970,"SPRING",46,0.107115260785576,0.13068,-18.032399153982,18.032399153982
1970,"SPRING",47,0.0564345506393156,0.06885,-18.0326061883579,18.0326061883579
1970,"SPRING",49,0.0282172753196578,0.03443,-18.0445096727917,18.0445096727917
1970,"SPRING",52,0.0282172753196578,0.03443,-18.0445096727917,18.0445096727917
1970,"SPRING",56,0.0282172753196578,0.03443,-18.0445096727917,18.0445096727917
1971,"SPRING",6,0.121321763305022,0.14801,-18.0313740253892,18.0313740253892
